"BehaviorSpace results (NetLogo 6.2.0)"
"1. ModeloBásicoUnProducto"
"clientes-tiendas"
"10/04/2021 17:20:15:202 -0500"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-16","16","-16","16"
"[run number]","num-clientes","num-productos","num-tiendas","tam-lista","[step]","ticks"
"2","5","4","5","3","7012","7012"
"6","5","4","5","3","2897","2897"
"4","5","4","5","3","4698","4698"
"3","5","4","5","3","6880","6880"
"7","5","4","5","3","5996","5996"
"8","5","4","5","3","5774","5774"
"14","5","4","5","3","3678","3678"
"5","5","4","5","3","7263","7263"
"10","5","4","5","3","5143","5143"
"13","5","4","5","3","6622","6622"
"12","5","4","5","3","8391","8391"
"9","5","4","5","3","14897","14897"
"1","5","4","5","3","11853","11853"
"16","5","4","5","3","3673","3673"
"19","5","4","5","3","3405","3405"
"11","5","4","5","3","11895","11895"
"20","5","4","5","3","5453","5453"
"23","5","4","5","3","3707","3707"
"22","5","4","5","3","3836","3836"
"17","5","4","5","3","8362","8362"
"21","5","4","5","3","5836","5836"
"18","5","4","5","3","6846","6846"
"25","5","4","5","3","4731","4731"
"29","5","4","5","3","4029","4029"
"26","5","4","5","3","7626","7626"
"15","5","4","5","3","14979","14979"
"28","5","4","5","3","5718","5718"
"31","5","4","5","3","7772","7772"
"24","5","4","5","3","12911","12911"
"33","5","4","5","3","4821","4821"
"30","5","4","5","3","7007","7007"
"32","5","4","5","3","4237","4237"
"27","5","4","5","3","7144","7144"
"34","5","4","5","3","6195","6195"
"39","5","4","5","3","3580","3580"
"37","5","4","5","3","4990","4990"
"38","5","4","5","3","4421","4421"
"40","5","4","5","3","4993","4993"
"36","5","4","5","3","8550","8550"
"35","5","4","5","3","10710","10710"
"43","5","4","5","3","3656","3656"
"41","5","4","5","3","6667","6667"
"44","5","4","5","3","4938","4938"
"42","5","4","5","3","8735","8735"
"49","5","4","5","3","3013","3013"
"48","5","4","5","3","4557","4557"
"51","5","4","10","3","2168","2168"
"45","5","4","5","3","7758","7758"
"46","5","4","5","3","7315","7315"
"52","5","4","10","3","2197","2197"
