"BehaviorSpace results (NetLogo 6.2.0)"
"5. TodosLosModelos1-2-3-4"
"TodosModelos"
"10/04/2021 12:38:40:732 -0500"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-16","16","-16","16"
"[run number]","num-clientes","tipo-modelo","tiendas-asociadas","num-productos","num-tiendas","tam-lista","[step]","ticks"
"6","5","Básico","2","5","5","4","3881","3881"
"5","5","Básico","2","5","5","4","3934","3934"
"7","5","Básico","2","5","5","4","4948","4948"
"2","5","Básico","2","5","5","4","7933","7933"
"8","5","Básico","2","5","5","4","6338","6338"
"12","5","Básico","2","5","10","4","3337","3337"
"1","5","Básico","2","5","5","4","8463","8463"
"11","5","Básico","2","5","10","4","1785","1785"
"9","5","Básico","2","5","5","4","9497","9497"
"4","5","Básico","2","5","5","4","5305","5305"
"14","5","Básico","2","5","10","4","3326","3326"
"3","5","Básico","2","5","5","4","10904","10904"
"13","5","Básico","2","5","10","4","4682","4682"
"16","5","Básico","2","5","10","4","2953","2953"
"17","5","Básico","2","5","10","4","4123","4123"
"10","5","Básico","2","5","5","4","8407","8407"
"20","5","Básico","2","5","10","4","2547","2547"
"21","5","Básico","2","5","15","4","1687","1687"
"22","5","Básico","2","5","15","4","1635","1635"
"15","5","Básico","2","5","10","4","6052","6052"
"23","5","Básico","2","5","15","4","1737","1737"
"19","5","Básico","2","5","10","4","5554","5554"
"26","5","Básico","2","5","15","4","3077","3077"
"27","5","Básico","2","5","15","4","2057","2057"
"24","5","Básico","2","5","15","4","3300","3300"
"29","5","Básico","2","5","15","4","3683","3683"
"25","5","Básico","2","5","15","4","2615","2615"
"31","5","Básico","2","5","20","4","1555","1555"
"32","5","Básico","2","5","20","4","1578","1578"
"33","5","Básico","2","5","20","4","1924","1924"
"35","5","Básico","2","5","20","4","1113","1113"
"34","5","Básico","2","5","20","4","2035","2035"
"28","5","Básico","2","5","15","4","6755","6755"
"37","5","Básico","2","5","20","4","1236","1236"
"38","5","Básico","2","5","20","4","1439","1439"
"30","5","Básico","2","5","15","4","3714","3714"
"41","5","Básico","2","5","25","4","1212","1212"
"36","5","Básico","2","5","20","4","2563","2563"
"44","5","Básico","2","5","25","4","944","944"
