"BehaviorSpace results (NetLogo 6.2.0)"
"FlockingAnalisisRailsBack.nlogo"
"meanFlockmates"
"09/10/2021 14:19:33:263 -0500"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-35","35","-35","35"
"[run number]","max-cohere-turn","max-separate-turn","vision","minimum-separation","population","max-align-turn","[step]","mean [count flockmates] of turtles"
"4","3","1.5","3","1","300","5","0","0"
"2","3","1.5","3","1","300","5","0","0"
"1","3","1.5","3","1","300","5","0","0"
"3","3","1.5","3","1","300","5","0","0"
"4","3","1.5","3","1","300","5","1","1.6666666666666667"
"1","3","1.5","3","1","300","5","1","1.6266666666666667"
"4","3","1.5","3","1","300","5","2","1.6733333333333333"
"3","3","1.5","3","1","300","5","1","1.7333333333333334"
"2","3","1.5","3","1","300","5","1","1.6866666666666668"
"3","3","1.5","3","1","300","5","2","1.68"
"1","3","1.5","3","1","300","5","2","1.6666666666666667"
"3","3","1.5","3","1","300","5","3","1.74"
"4","3","1.5","3","1","300","5","3","1.7533333333333334"
"2","3","1.5","3","1","300","5","2","1.7466666666666666"
"1","3","1.5","3","1","300","5","3","1.6933333333333334"
"3","3","1.5","3","1","300","5","4","1.82"
"1","3","1.5","3","1","300","5","4","1.5933333333333333"
"4","3","1.5","3","1","300","5","4","1.8333333333333333"
"2","3","1.5","3","1","300","5","3","1.88"
"3","3","1.5","3","1","300","5","5","1.8533333333333333"
"4","3","1.5","3","1","300","5","5","1.8933333333333333"
"2","3","1.5","3","1","300","5","4","1.84"
"3","3","1.5","3","1","300","5","6","1.86"
"1","3","1.5","3","1","300","5","5","1.6733333333333333"
"4","3","1.5","3","1","300","5","6","1.98"
"2","3","1.5","3","1","300","5","5","1.88"
"1","3","1.5","3","1","300","5","6","1.8133333333333332"
"4","3","1.5","3","1","300","5","7","2"
"2","3","1.5","3","1","300","5","6","1.94"
"1","3","1.5","3","1","300","5","7","1.8333333333333333"
"4","3","1.5","3","1","300","5","8","2.12"
"2","3","1.5","3","1","300","5","7","1.8666666666666667"
"1","3","1.5","3","1","300","5","8","1.92"
"4","3","1.5","3","1","300","5","9","2.033333333333333"
"2","3","1.5","3","1","300","5","8","1.92"
"3","3","1.5","3","1","300","5","7","1.8866666666666667"
"3","3","1.5","3","1","300","5","8","1.8666666666666667"
"3","3","1.5","3","1","300","5","9","2.013333333333333"
"4","3","1.5","3","1","300","5","10","1.9133333333333333"
"3","3","1.5","3","1","300","5","10","2.033333333333333"
"4","3","1.5","3","1","300","5","11","1.94"
"1","3","1.5","3","1","300","5","9","2.0733333333333333"
"3","3","1.5","3","1","300","5","11","2.04"
"4","3","1.5","3","1","300","5","12","2.033333333333333"
"3","3","1.5","3","1","300","5","12","2.0533333333333332"
"4","3","1.5","3","1","300","5","13","1.9933333333333334"
"3","3","1.5","3","1","300","5","13","2"
"4","3","1.5","3","1","300","5","14","1.98"
"1","3","1.5","3","1","300","5","10","2.0733333333333333"
"3","3","1.5","3","1","300","5","14","2.1866666666666665"
"4","3","1.5","3","1","300","5","15","2.066666666666667"
"3","3","1.5","3","1","300","5","15","2.2533333333333334"
"4","3","1.5","3","1","300","5","16","2.16"
"3","3","1.5","3","1","300","5","16","2.28"
"4","3","1.5","3","1","300","5","17","2.1466666666666665"
"3","3","1.5","3","1","300","5","17","2.2666666666666666"
"4","3","1.5","3","1","300","5","18","2.1733333333333333"
"3","3","1.5","3","1","300","5","18","2.2733333333333334"
"4","3","1.5","3","1","300","5","19","2.1533333333333333"
"3","3","1.5","3","1","300","5","19","2.3066666666666666"
"4","3","1.5","3","1","300","5","20","2.1"
"2","3","1.5","3","1","300","5","9","1.8933333333333333"
"1","3","1.5","3","1","300","5","11","2.1266666666666665"
"4","3","1.5","3","1","300","5","21","2.12"
"2","3","1.5","3","1","300","5","10","1.9933333333333334"
"4","3","1.5","3","1","300","5","22","2.3533333333333335"
"4","3","1.5","3","1","300","5","23","2.453333333333333"
"2","3","1.5","3","1","300","5","11","2.0866666666666664"
"1","3","1.5","3","1","300","5","12","2.1133333333333333"
"2","3","1.5","3","1","300","5","12","2.1333333333333333"
"1","3","1.5","3","1","300","5","13","2.12"
"2","3","1.5","3","1","300","5","13","2.22"
"1","3","1.5","3","1","300","5","14","2.0933333333333333"
"2","3","1.5","3","1","300","5","14","2.2133333333333334"
"1","3","1.5","3","1","300","5","15","2.1266666666666665"
"2","3","1.5","3","1","300","5","15","2.26"
"1","3","1.5","3","1","300","5","16","2.32"
"2","3","1.5","3","1","300","5","16","2.3266666666666667"
"1","3","1.5","3","1","300","5","17","2.453333333333333"
"2","3","1.5","3","1","300","5","17","2.2933333333333334"
"1","3","1.5","3","1","300","5","18","2.513333333333333"
"2","3","1.5","3","1","300","5","18","2.2066666666666666"
"1","3","1.5","3","1","300","5","19","2.493333333333333"
"2","3","1.5","3","1","300","5","19","2.16"
"1","3","1.5","3","1","300","5","20","2.38"
"2","3","1.5","3","1","300","5","20","2.22"
"1","3","1.5","3","1","300","5","21","2.433333333333333"
"3","3","1.5","3","1","300","5","20","2.32"
"2","3","1.5","3","1","300","5","21","2.3733333333333335"
"4","3","1.5","3","1","300","5","24","2.513333333333333"
"2","3","1.5","3","1","300","5","22","2.493333333333333"
"4","3","1.5","3","1","300","5","25","2.506666666666667"
"3","3","1.5","3","1","300","5","21","2.3133333333333335"
"4","3","1.5","3","1","300","5","26","2.506666666666667"
"4","3","1.5","3","1","300","5","27","2.526666666666667"
"3","3","1.5","3","1","300","5","22","2.3333333333333335"
"4","3","1.5","3","1","300","5","28","2.506666666666667"
"4","3","1.5","3","1","300","5","29","2.493333333333333"
"3","3","1.5","3","1","300","5","23","2.3733333333333335"
"1","3","1.5","3","1","300","5","22","2.44"
"3","3","1.5","3","1","300","5","24","2.28"
"4","3","1.5","3","1","300","5","30","2.486666666666667"
"1","3","1.5","3","1","300","5","23","2.3933333333333335"
"4","3","1.5","3","1","300","5","31","2.5933333333333333"
"3","3","1.5","3","1","300","5","25","2.2066666666666666"
"2","3","1.5","3","1","300","5","23","2.6333333333333333"
"1","3","1.5","3","1","300","5","24","2.493333333333333"
"4","3","1.5","3","1","300","5","32","2.6333333333333333"
"3","3","1.5","3","1","300","5","26","2.26"
"1","3","1.5","3","1","300","5","25","2.4266666666666667"
"4","3","1.5","3","1","300","5","33","2.6"
"3","3","1.5","3","1","300","5","27","2.3333333333333335"
"1","3","1.5","3","1","300","5","26","2.3333333333333335"
"4","3","1.5","3","1","300","5","34","2.473333333333333"
"3","3","1.5","3","1","300","5","28","2.58"
"3","3","1.5","3","1","300","5","29","2.6666666666666665"
"3","3","1.5","3","1","300","5","30","2.7333333333333334"
"4","3","1.5","3","1","300","5","35","2.4133333333333336"
"1","3","1.5","3","1","300","5","27","2.22"
"3","3","1.5","3","1","300","5","31","2.7666666666666666"
"4","3","1.5","3","1","300","5","36","2.433333333333333"
"3","3","1.5","3","1","300","5","32","2.6866666666666665"
"1","3","1.5","3","1","300","5","28","2.1133333333333333"
"4","3","1.5","3","1","300","5","37","2.58"
"1","3","1.5","3","1","300","5","29","2.18"
"3","3","1.5","3","1","300","5","33","2.6333333333333333"
"1","3","1.5","3","1","300","5","30","2.3133333333333335"
"4","3","1.5","3","1","300","5","38","2.52"
"1","3","1.5","3","1","300","5","31","2.42"
"2","3","1.5","3","1","300","5","24","2.7266666666666666"
"1","3","1.5","3","1","300","5","32","2.433333333333333"
"2","3","1.5","3","1","300","5","25","2.7933333333333334"
"1","3","1.5","3","1","300","5","33","2.2866666666666666"
"2","3","1.5","3","1","300","5","26","2.82"
"1","3","1.5","3","1","300","5","34","2.2933333333333334"
"2","3","1.5","3","1","300","5","27","2.6666666666666665"
"1","3","1.5","3","1","300","5","35","2.24"
"2","3","1.5","3","1","300","5","28","2.56"
"1","3","1.5","3","1","300","5","36","2.3"
"3","3","1.5","3","1","300","5","34","2.6733333333333333"
"2","3","1.5","3","1","300","5","29","2.566666666666667"
"3","3","1.5","3","1","300","5","35","2.76"
"2","3","1.5","3","1","300","5","30","2.6"
"3","3","1.5","3","1","300","5","36","2.84"
"2","3","1.5","3","1","300","5","31","2.6533333333333333"
"3","3","1.5","3","1","300","5","37","2.78"
"3","3","1.5","3","1","300","5","38","2.74"
"2","3","1.5","3","1","300","5","32","2.6666666666666665"
"4","3","1.5","3","1","300","5","39","2.5866666666666664"
"3","3","1.5","3","1","300","5","39","2.6733333333333333"
"3","3","1.5","3","1","300","5","40","2.8"
"2","3","1.5","3","1","300","5","33","2.7733333333333334"
"4","3","1.5","3","1","300","5","40","2.7066666666666666"
"2","3","1.5","3","1","300","5","34","2.8466666666666667"
"3","3","1.5","3","1","300","5","41","2.973333333333333"
"3","3","1.5","3","1","300","5","42","2.84"
"2","3","1.5","3","1","300","5","35","2.92"
"4","3","1.5","3","1","300","5","41","2.9133333333333336"
"3","3","1.5","3","1","300","5","43","2.72"
"2","3","1.5","3","1","300","5","36","2.84"
"3","3","1.5","3","1","300","5","44","2.7"
"2","3","1.5","3","1","300","5","37","2.74"
"4","3","1.5","3","1","300","5","42","2.9066666666666667"
"3","3","1.5","3","1","300","5","45","2.9133333333333336"
"4","3","1.5","3","1","300","5","43","2.973333333333333"
"4","3","1.5","3","1","300","5","44","2.953333333333333"
"3","3","1.5","3","1","300","5","46","3.1533333333333333"
"4","3","1.5","3","1","300","5","45","2.8133333333333335"
"1","3","1.5","3","1","300","5","37","2.3"
"3","3","1.5","3","1","300","5","47","3.44"
"4","3","1.5","3","1","300","5","46","2.8666666666666667"
"3","3","1.5","3","1","300","5","48","3.5866666666666664"
"1","3","1.5","3","1","300","5","38","2.26"
"4","3","1.5","3","1","300","5","47","3.1466666666666665"
"1","3","1.5","3","1","300","5","39","2.2733333333333334"
"4","3","1.5","3","1","300","5","48","3.24"
"3","3","1.5","3","1","300","5","49","3.44"
"1","3","1.5","3","1","300","5","40","2.3333333333333335"
"4","3","1.5","3","1","300","5","49","3.4066666666666667"
"1","3","1.5","3","1","300","5","41","2.3066666666666666"
"4","3","1.5","3","1","300","5","50","3.3866666666666667"
"1","3","1.5","3","1","300","5","42","2.26"
"4","3","1.5","3","1","300","5","51","3.4066666666666667"
"1","3","1.5","3","1","300","5","43","2.34"
"4","3","1.5","3","1","300","5","52","3.466666666666667"
"4","3","1.5","3","1","300","5","53","3.506666666666667"
"1","3","1.5","3","1","300","5","44","2.433333333333333"
"4","3","1.5","3","1","300","5","54","3.44"
"1","3","1.5","3","1","300","5","45","2.566666666666667"
"4","3","1.5","3","1","300","5","55","3.3733333333333335"
"1","3","1.5","3","1","300","5","46","2.58"
"2","3","1.5","3","1","300","5","38","2.7466666666666666"
"4","3","1.5","3","1","300","5","56","3.2466666666666666"
"1","3","1.5","3","1","300","5","47","2.5733333333333333"
"3","3","1.5","3","1","300","5","50","3.32"
"2","3","1.5","3","1","300","5","39","2.8466666666666667"
"1","3","1.5","3","1","300","5","48","2.58"
"2","3","1.5","3","1","300","5","40","2.966666666666667"
"1","3","1.5","3","1","300","5","49","2.5733333333333333"
"2","3","1.5","3","1","300","5","41","3.1066666666666665"
"3","3","1.5","3","1","300","5","51","3.3066666666666666"
"1","3","1.5","3","1","300","5","50","2.6"
"2","3","1.5","3","1","300","5","42","3"
"1","3","1.5","3","1","300","5","51","2.7666666666666666"
"3","3","1.5","3","1","300","5","52","3.2933333333333334"
"2","3","1.5","3","1","300","5","43","2.966666666666667"
"1","3","1.5","3","1","300","5","52","2.8866666666666667"
"4","3","1.5","3","1","300","5","57","3.28"
"2","3","1.5","3","1","300","5","44","2.8333333333333335"
"1","3","1.5","3","1","300","5","53","3.013333333333333"
"3","3","1.5","3","1","300","5","53","3.4066666666666667"
"4","3","1.5","3","1","300","5","58","3.4266666666666667"
"2","3","1.5","3","1","300","5","45","2.9466666666666668"
"3","3","1.5","3","1","300","5","54","3.52"
"4","3","1.5","3","1","300","5","59","3.6066666666666665"
"2","3","1.5","3","1","300","5","46","3.2666666666666666"
"3","3","1.5","3","1","300","5","55","3.493333333333333"
"4","3","1.5","3","1","300","5","60","3.6933333333333334"
"2","3","1.5","3","1","300","5","47","3.38"
"3","3","1.5","3","1","300","5","56","3.5733333333333333"
"4","3","1.5","3","1","300","5","61","3.8733333333333335"
"2","3","1.5","3","1","300","5","48","3.3466666666666667"
"3","3","1.5","3","1","300","5","57","3.6266666666666665"
"1","3","1.5","3","1","300","5","54","3.04"
"4","3","1.5","3","1","300","5","62","3.8466666666666667"
"2","3","1.5","3","1","300","5","49","3.1733333333333333"
"3","3","1.5","3","1","300","5","58","3.48"
"1","3","1.5","3","1","300","5","55","3.16"
"4","3","1.5","3","1","300","5","63","3.966666666666667"
"2","3","1.5","3","1","300","5","50","3.1066666666666665"
"3","3","1.5","3","1","300","5","59","3.433333333333333"
"4","3","1.5","3","1","300","5","64","4.053333333333334"
"1","3","1.5","3","1","300","5","56","3.18"
"2","3","1.5","3","1","300","5","51","3.1733333333333333"
"3","3","1.5","3","1","300","5","60","3.4"
"4","3","1.5","3","1","300","5","65","3.973333333333333"
"2","3","1.5","3","1","300","5","52","3.18"
"3","3","1.5","3","1","300","5","61","3.32"
"1","3","1.5","3","1","300","5","57","3.08"
"4","3","1.5","3","1","300","5","66","3.9066666666666667"
"2","3","1.5","3","1","300","5","53","3.2733333333333334"
"3","3","1.5","3","1","300","5","62","3.2466666666666666"
"4","3","1.5","3","1","300","5","67","3.76"
"1","3","1.5","3","1","300","5","58","3.04"
"2","3","1.5","3","1","300","5","54","3.5"
"3","3","1.5","3","1","300","5","63","3.24"
"4","3","1.5","3","1","300","5","68","3.6266666666666665"
"1","3","1.5","3","1","300","5","59","2.966666666666667"
"3","3","1.5","3","1","300","5","64","3.32"
"4","3","1.5","3","1","300","5","69","3.533333333333333"
"1","3","1.5","3","1","300","5","60","3.1133333333333333"
"3","3","1.5","3","1","300","5","65","3.3666666666666667"
