"BehaviorSpace results (NetLogo 6.2.0)"
"HelechosCon Infección.nlogo"
"experiment"
"09/02/2021 12:48:46:846 -0500"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-32","32","-32","32"
"[run number]","densidad","[step]","azules"
"8","10","116","30"
"5","10","145","9"
"6","10","123","9"
"4","10","158","60"
"2","10","127","28"
"3","10","167","34"
"7","10","182","19"
"9","10","145","19"
"1","10","142","38"
"12","10","140","71"
"13","10","134","36"
"10","10","162","47"
"11","10","174","48"
"15","10","144","32"
"14","10","162","51"
"18","10","138","10"
"16","10","174","59"
"19","10","157","44"
"20","10","135","42"
"17","10","127","27"
"22","10","162","70"
"23","10","136","14"
"21","10","133","26"
"25","10","128","23"
"24","10","170","57"
"26","10","156","31"
"27","10","121","72"
"28","10","141","34"
"30","10","166","33"
"29","10","162","43"
"31","10","151","22"
"33","10","140","32"
"32","10","154","51"
"34","10","131","33"
"35","10","125","42"
"37","10","119","13"
"38","10","143","31"
"41","10","121","43"
"36","10","146","16"
"39","10","183","38"
"40","10","142","21"
"43","10","152","33"
"42","10","147","33"
"44","10","167","56"
"45","10","134","41"
"46","10","141","33"
"49","10","133","36"
"50","10","141","24"
"47","10","143","19"
"48","10","175","89"
"51","10","168","59"
"53","10","140","50"
"52","10","140","17"
"58","10","125","30"
"54","10","159","52"
"55","10","177","38"
"56","10","158","26"
"59","10","151","31"
"57","10","160","49"
"60","10","129","48"
"61","10","140","15"
"63","10","136","38"
"64","10","119","11"
"62","10","154","15"
"66","10","128","31"
"65","10","138","32"
"68","10","129","26"
"69","10","114","33"
"67","10","136","9"
"71","10","122","35"
"70","10","176","60"
"73","10","149","8"
"74","10","139","24"
"75","10","140","29"
"72","10","190","56"
"77","10","135","58"
"76","10","173","45"
"79","10","149","18"
"81","10","123","11"
"78","10","164","84"
"82","10","134","52"
"80","10","162","48"
"83","10","143","40"
"85","10","148","35"
"84","10","151","36"
"88","10","142","73"
"89","10","141","27"
"90","10","139","37"
"86","10","147","34"
"87","10","149","19"
"91","10","153","36"
"92","10","131","35"
"95","10","132","31"
"96","10","132","48"
"93","10","168","45"
"97","10","133","40"
"99","10","135","51"
"98","10","129","17"
"94","10","159","52"
"100","10","157","35"
"101","10","130","28"
"102","10","128","34"
"104","10","142","35"
"103","10","156","33"
"106","10","134","48"
"105","10","132","3"
"107","10","149","29"
"108","10","144","23"
"109","10","127","48"
"110","10","152","33"
"114","10","123","14"
"111","10","173","60"
"115","10","133","33"
"113","10","166","26"
"112","10","177","31"
"116","10","125","12"
"117","10","139","29"
"118","10","119","21"
"119","10","153","48"
"122","10","149","43"
"120","10","152","50"
"121","10","143","59"
"123","10","134","51"
"126","10","113","15"
"125","10","179","88"
"124","10","167","42"
"127","10","131","28"
"128","10","134","32"
"129","10","141","29"
"130","10","133","35"
"132","10","142","37"
"134","10","138","60"
