"BehaviorSpace results (NetLogo 6.2.0)"
"Hongos-Dos-Deslizadores.nlogo"
"tiempo-espera-ángulo vs Tiempo-Grande"
"09/28/2021 11:22:28:053 -0500"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-16","16","-16","16"
"[run number]","tiempo-espera","ángulo-local","[step]","ticks"
"5","0","0","4522","4522"
"7","0","0","4948","4948"
"2","0","0","4319","4319"
"1","0","0","6063","6063"
"8","0","0","4241","4241"
"6","0","0","5980","5980"
"9","0","0","4916","4916"
"3","0","0","8398","8398"
"15","0","0","4273","4273"
"11","0","0","5604","5604"
"4","0","0","7173","7173"
"12","0","0","5962","5962"
"14","0","0","5625","5625"
"16","0","0","4678","4678"
"10","0","0","7544","7544"
"17","0","0","6708","6708"
"18","0","0","4164","4164"
"22","0","0","5275","5275"
"13","0","0","7844","7844"
"20","0","0","6242","6242"
"19","0","0","5875","5875"
"23","0","0","7206","7206"
"24","0","0","5187","5187"
"26","0","0","4965","4965"
"21","0","0","7345","7345"
"28","0","0","4885","4885"
"25","0","0","5645","5645"
"30","0","0","5107","5107"
"29","0","0","5154","5154"
"31","0","0","5010","5010"
"27","0","0","5360","5360"
"32","0","0","4658","4658"
"35","0","0","3885","3885"
"33","0","0","7100","7100"
"34","0","0","6726","6726"
"36","0","0","7345","7345"
"38","0","0","4149","4149"
"41","0","0","3664","3664"
"42","0","0","4575","4575"
"37","0","0","5690","5690"
"39","0","0","3916","3916"
"40","0","0","4545","4545"
"48","0","0","4249","4249"
"44","0","0","3966","3966"
"46","0","0","5528","5528"
"43","0","0","5880","5880"
"50","0","0","4156","4156"
"47","0","0","6064","6064"
"51","0","0","5390","5390"
"49","0","0","6014","6014"
"53","0","0","4570","4570"
"45","0","0","6924","6924"
"55","0","0","5737","5737"
"54","0","0","5342","5342"
"58","0","0","4407","4407"
"56","0","0","5538","5538"
"52","0","0","8743","8743"
"59","0","0","3503","3503"
"57","0","0","5207","5207"
"62","0","0","4933","4933"
"60","0","0","5311","5311"
"64","0","0","5656","5656"
"65","0","0","4929","4929"
"68","0","0","5563","5563"
"63","0","0","6015","6015"
"66","0","0","6251","6251"
"61","0","0","6983","6983"
"72","0","0","2994","2994"
"75","0","0","2416","2416"
"70","0","0","6011","6011"
"67","0","0","7855","7855"
"69","0","0","5996","5996"
"74","0","0","5099","5099"
"79","0","0","3681","3681"
"73","0","0","4939","4939"
"71","0","0","8263","8263"
"78","0","0","4706","4706"
"83","0","0","4735","4735"
"80","0","0","5245","5245"
"77","0","0","8344","8344"
"84","0","0","4845","4845"
"82","0","0","5835","5835"
"85","0","0","4804","4804"
"76","0","0","9227","9227"
"90","0","0","3621","3621"
"88","0","0","5395","5395"
"81","0","0","5316","5316"
"86","0","0","6206","6206"
"89","0","0","5844","5844"
"92","0","0","3919","3919"
"87","0","0","6613","6613"
"91","0","0","5281","5281"
"98","0","0","5393","5393"
"94","0","0","5140","5140"
"95","0","0","5245","5245"
"96","0","0","5313","5313"
"97","0","0","6454","6454"
"93","0","0","8123","8123"
"99","0","0","5075","5075"
"105","0","2","3164","3164"
"103","0","2","4445","4445"
"101","0","2","5868","5868"
"102","0","2","5199","5199"
"106","0","2","4235","4235"
"107","0","2","5719","5719"
"104","0","2","6087","6087"
"110","0","2","3750","3750"
"108","0","2","4775","4775"
"100","0","0","4987","4987"
"113","0","2","3631","3631"
"109","0","2","4609","4609"
"111","0","2","5006","5006"
"114","0","2","6250","6250"
"117","0","2","4661","4661"
"115","0","2","5117","5117"
"119","0","2","3504","3504"
"116","0","2","4399","4399"
"121","0","2","5223","5223"
"118","0","2","5055","5055"
"122","0","2","4505","4505"
"125","0","2","4132","4132"
"126","0","2","3885","3885"
"124","0","2","4385","4385"
"112","0","2","11147","11147"
"120","0","2","7023","7023"
"129","0","2","4049","4049"
"127","0","2","5961","5961"
"132","0","2","5653","5653"
"128","0","2","7857","7857"
"131","0","2","7369","7369"
"130","0","2","6325","6325"
"123","0","2","7330","7330"
"133","0","2","3877","3877"
"134","0","2","6806","6806"
"135","0","2","6824","6824"
"140","0","2","5825","5825"
"137","0","2","4477","4477"
"139","0","2","5359","5359"
"136","0","2","5575","5575"
"143","0","2","4746","4746"
"138","0","2","6027","6027"
"145","0","2","3219","3219"
"142","0","2","5483","5483"
"141","0","2","5786","5786"
"144","0","2","4841","4841"
"146","0","2","3194","3194"
"147","0","2","6347","6347"
"151","0","2","4081","4081"
"148","0","2","5244","5244"
"154","0","2","4455","4455"
"150","0","2","5328","5328"
"152","0","2","4065","4065"
"149","0","2","5298","5298"
"158","0","2","4897","4897"
"159","0","2","4525","4525"
"160","0","2","4512","4512"
"157","0","2","3622","3622"
"161","0","2","4145","4145"
"156","0","2","6054","6054"
"162","0","2","3848","3848"
"153","0","2","7479","7479"
"155","0","2","5976","5976"
"163","0","2","6449","6449"
"166","0","2","4141","4141"
"164","0","2","4619","4619"
"167","0","2","5283","5283"
"165","0","2","4985","4985"
"170","0","2","5191","5191"
"171","0","2","3384","3384"
"168","0","2","6004","6004"
"169","0","2","7243","7243"
"173","0","2","5188","5188"
"175","0","2","4139","4139"
"174","0","2","5512","5512"
"176","0","2","4379","4379"
"172","0","2","6879","6879"
"181","0","2","4737","4737"
"180","0","2","5473","5473"
"177","0","2","6386","6386"
"184","0","2","4252","4252"
"179","0","2","6523","6523"
"182","0","2","6559","6559"
"178","0","2","6297","6297"
"185","0","2","4629","4629"
"183","0","2","5673","5673"
"188","0","2","3567","3567"
"186","0","2","6976","6976"
"187","0","2","5011","5011"
"192","0","2","6235","6235"
"189","0","2","6074","6074"
"194","0","2","5648","5648"
"190","0","2","7891","7891"
"195","0","2","6630","6630"
"196","0","2","6682","6682"
"191","0","2","11706","11706"
"198","0","2","5264","5264"
"199","0","2","5237","5237"
"193","0","2","11463","11463"
"197","0","2","5703","5703"
"200","0","2","7519","7519"
"203","0","4","4575","4575"
"202","0","4","3853","3853"
"201","0","4","6241","6241"
"206","0","4","4241","4241"
"204","0","4","5158","5158"
"207","0","4","6474","6474"
"205","0","4","5012","5012"
"208","0","4","5093","5093"
"210","0","4","6220","6220"
"212","0","4","3947","3947"
"209","0","4","6434","6434"
"211","0","4","4977","4977"
"214","0","4","5532","5532"
"215","0","4","6640","6640"
"219","0","4","3038","3038"
"217","0","4","4835","4835"
"220","0","4","6527","6527"
"218","0","4","4446","4446"
"213","0","4","6049","6049"
"221","0","4","5217","5217"
"224","0","4","4788","4788"
"222","0","4","4933","4933"
"223","0","4","4912","4912"
"216","0","4","8098","8098"
"225","0","4","6338","6338"
"227","0","4","5117","5117"
"229","0","4","6127","6127"
"226","0","4","5908","5908"
"230","0","4","4747","4747"
"234","0","4","3851","3851"
"228","0","4","5594","5594"
"231","0","4","5058","5058"
"232","0","4","5613","5613"
"236","0","4","5928","5928"
"233","0","4","4453","4453"
"235","0","4","4429","4429"
"238","0","4","6356","6356"
"242","0","4","3788","3788"
"239","0","4","6400","6400"
"241","0","4","5636","5636"
"237","0","4","7786","7786"
"243","0","4","5078","5078"
"240","0","4","6561","6561"
"244","0","4","6442","6442"
"247","0","4","6162","6162"
"249","0","4","4319","4319"
"245","0","4","5745","5745"
"246","0","4","7577","7577"
