"BehaviorSpace results (NetLogo 6.2.0)"
"Hongos-Dos-Deslizadores.nlogo"
"tiempo-espera-ángulo vs Tiempo"
"09/28/2021 10:43:29:100 -0500"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-16","16","-16","16"
"[run number]","tiempo-espera","ángulo-local","[step]","ticks"
"4","0","0","3727","3727"
"1","0","0","2800","2800"
"8","0","0","5162","5162"
"5","0","0","4085","4085"
"3","0","0","4139","4139"
"2","0","0","6117","6117"
"10","0","0","5095","5095"
"7","0","0","6077","6077"
"13","0","2","3802","3802"
"12","0","2","5800","5800"
"11","0","2","4753","4753"
"9","0","0","4808","4808"
"14","0","2","3628","3628"
"6","0","0","5629","5629"
"15","0","2","4447","4447"
"18","0","2","4353","4353"
"21","0","4","4073","4073"
"20","0","2","5197","5197"
"16","0","2","5247","5247"
"19","0","2","5860","5860"
"17","0","2","5070","5070"
"22","0","4","4017","4017"
"23","0","4","5560","5560"
"24","0","4","4745","4745"
"25","0","4","6213","6213"
"29","0","4","9249","9249"
"28","0","4","5867","5867"
"26","0","4","7244","7244"
"31","0","6","5084","5084"
"35","0","6","3372","3372"
"27","0","4","7285","7285"
"30","0","4","7131","7131"
"32","0","6","6480","6480"
"33","0","6","5091","5091"
"34","0","6","5908","5908"
"40","0","6","3282","3282"
"36","0","6","4982","4982"
"38","0","6","6555","6555"
"37","0","6","5163","5163"
"39","0","6","5360","5360"
"41","0","8","4212","4212"
"42","0","8","4054","4054"
"43","0","8","5381","5381"
"46","0","8","5357","5357"
"48","0","8","4042","4042"
"47","0","8","4913","4913"
"44","0","8","6167","6167"
"50","0","8","3650","3650"
"49","0","8","4992","4992"
"53","0","10","5893","5893"
"45","0","8","7041","7041"
"51","0","10","5783","5783"
"56","0","10","3584","3584"
"55","0","10","4162","4162"
"54","0","10","3440","3440"
"52","0","10","5893","5893"
"59","0","10","4800","4800"
"58","0","10","5210","5210"
"57","0","10","8005","8005"
"61","0","12","5241","5241"
"60","0","10","5099","5099"
"63","0","12","5798","5798"
"66","0","12","5543","5543"
"64","0","12","7241","7241"
"67","0","12","6349","6349"
"62","0","12","6563","6563"
"65","0","12","7001","7001"
"68","0","12","4038","4038"
"69","0","12","6018","6018"
"71","0","14","4958","4958"
"70","0","12","4139","4139"
"73","0","14","4896","4896"
"75","0","14","7289","7289"
"72","0","14","6434","6434"
"78","0","14","4327","4327"
"79","0","14","3712","3712"
"77","0","14","5929","5929"
"76","0","14","5696","5696"
"82","0","16","5321","5321"
"83","0","16","5986","5986"
"84","0","16","5754","5754"
"80","0","14","8458","8458"
"86","0","16","4729","4729"
"74","0","14","7770","7770"
"85","0","16","7067","7067"
"81","0","16","7717","7717"
"87","0","16","5902","5902"
"88","0","16","3447","3447"
"89","0","16","6436","6436"
"92","0","18","5768","5768"
"94","0","18","4754","4754"
"90","0","16","8190","8190"
"93","0","18","5691","5691"
"95","0","18","6083","6083"
"99","0","18","5293","5293"
"101","0","20","4494","4494"
"96","0","18","8791","8791"
"97","0","18","7376","7376"
"98","0","18","6046","6046"
"91","0","18","8901","8901"
"102","0","20","3581","3581"
"103","0","20","4454","4454"
"105","0","20","4139","4139"
"109","0","20","4273","4273"
"106","0","20","4462","4462"
"100","0","18","6464","6464"
"107","0","20","4508","4508"
"104","0","20","6470","6470"
"111","0","22","4923","4923"
"108","0","20","6138","6138"
"114","0","22","4701","4701"
"112","0","22","4725","4725"
"113","0","22","4265","4265"
"115","0","22","5797","5797"
"110","0","20","8152","8152"
"116","0","22","6036","6036"
"120","0","22","4415","4415"
"121","0","24","3553","3553"
"123","0","24","4068","4068"
"119","0","22","5533","5533"
"118","0","22","5591","5591"
"122","0","24","3819","3819"
"125","0","24","7396","7396"
"124","0","24","7734","7734"
"117","0","22","8303","8303"
"127","0","24","3197","3197"
"132","0","26","5511","5511"
"126","0","24","5615","5615"
"131","0","26","4863","4863"
"129","0","24","4657","4657"
"130","0","24","7344","7344"
"128","0","24","7833","7833"
"137","0","26","5229","5229"
"134","0","26","5580","5580"
"135","0","26","6402","6402"
"136","0","26","4289","4289"
"140","0","26","4556","4556"
"133","0","26","6860","6860"
"141","0","28","5676","5676"
"142","0","28","4876","4876"
"139","0","26","3953","3953"
"143","0","28","4289","4289"
"145","0","28","4421","4421"
"138","0","26","6890","6890"
"146","0","28","6441","6441"
"144","0","28","5361","5361"
"149","0","28","6037","6037"
"150","0","28","5804","5804"
"147","0","28","9088","9088"
"148","0","28","8924","8924"
"151","0","30","6708","6708"
"152","0","30","7929","7929"
"156","0","30","4320","4320"
"155","0","30","4132","4132"
"157","0","30","4250","4250"
"154","0","30","6989","6989"
"153","0","30","6991","6991"
"163","0","32","5884","5884"
"161","0","32","6100","6100"
"159","0","30","7311","7311"
"158","0","30","6298","6298"
"164","0","32","3962","3962"
"162","0","32","5064","5064"
"160","0","30","6599","6599"
"168","0","32","4823","4823"
"167","0","32","4314","4314"
"165","0","32","5634","5634"
"166","0","32","6490","6490"
"169","0","32","4364","4364"
"170","0","32","5093","5093"
"172","0","34","6174","6174"
"171","0","34","11117","11117"
"175","0","34","3718","3718"
"176","0","34","5631","5631"
"179","0","34","5685","5685"
"174","0","34","9518","9518"
"173","0","34","6797","6797"
"178","0","34","4889","4889"
"180","0","34","6476","6476"
"177","0","34","6966","6966"
"182","0","36","5497","5497"
"181","0","36","4775","4775"
"188","0","36","4126","4126"
"186","0","36","5290","5290"
"189","0","36","4938","4938"
"185","0","36","4530","4530"
"184","0","36","7181","7181"
"190","0","36","5827","5827"
"187","0","36","6469","6469"
"191","0","38","4724","4724"
"193","0","38","5036","5036"
"194","0","38","4671","4671"
"195","0","38","4342","4342"
"192","0","38","3956","3956"
"197","0","38","4436","4436"
"199","0","38","4248","4248"
"202","0","40","3817","3817"
"183","0","36","10512","10512"
"198","0","38","6546","6546"
"196","0","38","6371","6371"
"204","0","40","4984","4984"
"206","0","40","4599","4599"
"200","0","38","6514","6514"
"205","0","40","4330","4330"
"201","0","40","6251","6251"
"209","0","40","3626","3626"
"203","0","40","6763","6763"
"208","0","40","5935","5935"
"212","0","42","5381","5381"
"214","0","42","5210","5210"
"210","0","40","5151","5151"
"216","0","42","3890","3890"
"211","0","42","7156","7156"
"217","0","42","4764","4764"
"219","0","42","4088","4088"
"215","0","42","6751","6751"
"218","0","42","4938","4938"
"213","0","42","6991","6991"
"220","0","42","3881","3881"
"223","0","44","4983","4983"
"224","0","44","3411","3411"
"222","0","44","5710","5710"
"226","0","44","6347","6347"
"225","0","44","5569","5569"
"207","0","40","12143","12143"
"232","0","46","3283","3283"
"231","0","46","4009","4009"
"227","0","44","4635","4635"
"230","0","44","4496","4496"
"228","0","44","6207","6207"
"221","0","44","7651","7651"
"229","0","44","6023","6023"
"234","0","46","3798","3798"
"236","0","46","3543","3543"
"235","0","46","6812","6812"
"239","0","46","3843","3843"
"237","0","46","4670","4670"
"233","0","46","5521","5521"
"241","0","48","5775","5775"
"240","0","46","5299","5299"
"238","0","46","5874","5874"
"244","0","48","4727","4727"
"242","0","48","4750","4750"
"243","0","48","6156","6156"
"246","0","48","4894","4894"
"245","0","48","9342","9342"
"248","0","48","4787","4787"
"247","0","48","4654","4654"
"251","0","50","6760","6760"
"250","0","48","5124","5124"
"252","0","50","6953","6953"
"254","0","50","4432","4432"
"249","0","48","5420","5420"
"253","0","50","5192","5192"
"259","0","50","4169","4169"
"255","0","50","4870","4870"
"257","0","50","6432","6432"
"256","0","50","6069","6069"
"261","0","52","3573","3573"
"258","0","50","5477","5477"
"263","0","52","3933","3933"
"262","0","52","7126","7126"
"260","0","50","6711","6711"
"268","0","52","4420","4420"
"269","0","52","5834","5834"
"266","0","52","4899","4899"
"267","0","52","4358","4358"
"272","0","54","4151","4151"
"271","0","54","5545","5545"
"273","0","54","4283","4283"
"264","0","52","9227","9227"
"265","0","52","7573","7573"
"274","0","54","5240","5240"
"278","0","54","6857","6857"
"277","0","54","5518","5518"
"275","0","54","6040","6040"
"270","0","52","7740","7740"
"279","0","54","3815","3815"
"281","0","56","3882","3882"
"280","0","54","4724","4724"
"276","0","54","6999","6999"
"282","0","56","4917","4917"
"284","0","56","4114","4114"
"287","0","56","4830","4830"
"286","0","56","5323","5323"
"289","0","56","4666","4666"
"288","0","56","7257","7257"
"285","0","56","4673","4673"
"291","0","58","5272","5272"
"292","0","58","5358","5358"
"283","0","56","5956","5956"
"290","0","56","6326","6326"
"294","0","58","4339","4339"
"293","0","58","4295","4295"
"298","0","58","4270","4270"
