"BehaviorSpace results (NetLogo 6.2.0)"
"ModeloBásico.nlogo"
"clientes-tiendas"
"10/03/2021 15:09:47:619 -0500"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-16","16","-16","16"
"[run number]","num-clientes","num-productos","num-tiendas","tam-lista","[step]","ticks"
"1","2","6","2","4","2352","2352"
"6","2","6","2","4","1981","1981"
"5","2","6","2","4","2512","2512"
"4","2","6","2","4","1884","1884"
"8","2","6","2","4","3580","3580"
"10","2","6","2","4","1967","1967"
"2","2","6","2","4","3256","3256"
"7","2","6","2","4","3255","3255"
"16","2","6","2","4","1318","1318"
"15","2","6","2","4","1509","1509"
"13","2","6","2","4","4534","4534"
"12","2","6","2","4","1987","1987"
"11","2","6","2","4","3277","3277"
"17","2","6","2","4","1817","1817"
"21","2","6","2","4","837","837"
"19","2","6","2","4","3533","3533"
"9","2","6","2","4","5675","5675"
"18","2","6","2","4","3682","3682"
"23","2","6","2","4","2095","2095"
"22","2","6","2","4","3534","3534"
"28","2","6","2","4","1184","1184"
"14","2","6","2","4","9119","9119"
"20","2","6","2","4","3223","3223"
"3","2","6","2","4","10197","10197"
"25","2","6","2","4","3589","3589"
"26","2","6","2","4","2912","2912"
"24","2","6","2","4","2844","2844"
"27","2","6","2","4","4264","4264"
"30","2","6","2","4","3017","3017"
"35","2","6","2","4","2061","2061"
"33","2","6","2","4","4270","4270"
"36","2","6","2","4","2850","2850"
"34","2","6","2","4","4219","4219"
"37","2","6","2","4","3560","3560"
"39","2","6","2","4","1551","1551"
"31","2","6","2","4","3874","3874"
"29","2","6","2","4","8669","8669"
"42","2","6","2","4","1778","1778"
"32","2","6","2","4","4924","4924"
"38","2","6","2","4","2206","2206"
"44","2","6","2","4","879","879"
"40","2","6","2","4","7051","7051"
"43","2","6","2","4","6011","6011"
"47","2","6","2","4","2984","2984"
"41","2","6","2","4","6977","6977"
"53","2","6","4","4","849","849"
"48","2","6","2","4","3880","3880"
"52","2","6","4","4","1881","1881"
"51","2","6","4","4","2568","2568"
"46","2","6","2","4","8102","8102"
"50","2","6","2","4","3553","3553"
"54","2","6","4","4","1263","1263"
"56","2","6","4","4","486","486"
"49","2","6","2","4","3845","3845"
"59","2","6","4","4","1294","1294"
"62","2","6","4","4","864","864"
"58","2","6","4","4","1825","1825"
"55","2","6","4","4","2073","2073"
"61","2","6","4","4","1252","1252"
"60","2","6","4","4","1536","1536"
"57","2","6","4","4","2627","2627"
"63","2","6","4","4","1372","1372"
"64","2","6","4","4","1497","1497"
"69","2","6","4","4","2065","2065"
"65","2","6","4","4","2375","2375"
"45","2","6","2","4","8510","8510"
"68","2","6","4","4","1523","1523"
"67","2","6","4","4","1891","1891"
"71","2","6","4","4","524","524"
"72","2","6","4","4","612","612"
"70","2","6","4","4","2405","2405"
"77","2","6","4","4","688","688"
"78","2","6","4","4","983","983"
"76","2","6","4","4","935","935"
"73","2","6","4","4","1144","1144"
"66","2","6","4","4","4098","4098"
"75","2","6","4","4","1353","1353"
"80","2","6","4","4","1183","1183"
"79","2","6","4","4","1998","1998"
"82","2","6","4","4","1252","1252"
"81","2","6","4","4","2396","2396"
"85","2","6","4","4","1651","1651"
"74","2","6","4","4","1776","1776"
"86","2","6","4","4","1146","1146"
"83","2","6","4","4","2375","2375"
"88","2","6","4","4","1370","1370"
"87","2","6","4","4","1996","1996"
"93","2","6","4","4","1312","1312"
"89","2","6","4","4","1576","1576"
"95","2","6","4","4","745","745"
"98","2","6","4","4","319","319"
"96","2","6","4","4","563","563"
"90","2","6","4","4","2205","2205"
"92","2","6","4","4","1733","1733"
"97","2","6","4","4","1215","1215"
"84","2","6","4","4","2717","2717"
"103","2","6","6","4","349","349"
"105","2","6","6","4","1085","1085"
"104","2","6","6","4","1127","1127"
"101","2","6","6","4","2001","2001"
"91","2","6","4","4","4433","4433"
"107","2","6","6","4","603","603"
"106","2","6","6","4","773","773"
"99","2","6","4","4","2929","2929"
"94","2","6","4","4","3319","3319"
"102","2","6","6","4","2051","2051"
"110","2","6","6","4","495","495"
"100","2","6","4","4","3327","3327"
"113","2","6","6","4","631","631"
"112","2","6","6","4","1071","1071"
"111","2","6","6","4","1638","1638"
"108","2","6","6","4","1708","1708"
"109","2","6","6","4","1650","1650"
"118","2","6","6","4","849","849"
"121","2","6","6","4","521","521"
"116","2","6","6","4","1638","1638"
"115","2","6","6","4","1432","1432"
"114","2","6","6","4","1632","1632"
"117","2","6","6","4","1145","1145"
"119","2","6","6","4","1211","1211"
"128","2","6","6","4","581","581"
"124","2","6","6","4","1074","1074"
"122","2","6","6","4","1332","1332"
"125","2","6","6","4","1802","1802"
"120","2","6","6","4","2146","2146"
"127","2","6","6","4","952","952"
"131","2","6","6","4","401","401"
"132","2","6","6","4","229","229"
"129","2","6","6","4","1064","1064"
"133","2","6","6","4","287","287"
"126","2","6","6","4","1711","1711"
"130","2","6","6","4","1502","1502"
"134","2","6","6","4","767","767"
"140","2","6","6","4","212","212"
"136","2","6","6","4","1116","1116"
"135","2","6","6","4","1324","1324"
"137","2","6","6","4","1320","1320"
"143","2","6","6","4","800","800"
"142","2","6","6","4","925","925"
"123","2","6","6","4","1989","1989"
"139","2","6","6","4","973","973"
"146","2","6","6","4","221","221"
"144","2","6","6","4","1247","1247"
"138","2","6","6","4","1946","1946"
"145","2","6","6","4","1863","1863"
"141","2","6","6","4","1539","1539"
"151","2","6","8","4","758","758"
"150","2","6","6","4","1279","1279"
"147","2","6","6","4","1704","1704"
"152","2","6","8","4","970","970"
"149","2","6","6","4","1226","1226"
"156","2","6","8","4","488","488"
"154","2","6","8","4","509","509"
"157","2","6","8","4","157","157"
"153","2","6","8","4","1541","1541"
"148","2","6","6","4","2613","2613"
"162","2","6","8","4","214","214"
"158","2","6","8","4","983","983"
"155","2","6","8","4","1566","1566"
"163","2","6","8","4","1099","1099"
"160","2","6","8","4","1449","1449"
"166","2","6","8","4","396","396"
"164","2","6","8","4","1133","1133"
"161","2","6","8","4","1059","1059"
"165","2","6","8","4","1081","1081"
"168","2","6","8","4","459","459"
"169","2","6","8","4","453","453"
"159","2","6","8","4","1481","1481"
"174","2","6","8","4","377","377"
"175","2","6","8","4","356","356"
"172","2","6","8","4","937","937"
"173","2","6","8","4","1102","1102"
"171","2","6","8","4","1456","1456"
"176","2","6","8","4","928","928"
"167","2","6","8","4","2044","2044"
"177","2","6","8","4","1402","1402"
"170","2","6","8","4","1815","1815"
"179","2","6","8","4","468","468"
"180","2","6","8","4","1278","1278"
"181","2","6","8","4","1012","1012"
"188","2","6","8","4","189","189"
"186","2","6","8","4","1111","1111"
"189","2","6","8","4","474","474"
"184","2","6","8","4","1947","1947"
"178","2","6","8","4","2575","2575"
"182","2","6","8","4","1723","1723"
"185","2","6","8","4","1465","1465"
"193","2","6","8","4","234","234"
"183","2","6","8","4","2310","2310"
"190","2","6","8","4","392","392"
"195","2","6","8","4","214","214"
"187","2","6","8","4","1682","1682"
"191","2","6","8","4","696","696"
"200","2","6","8","4","446","446"
"196","2","6","8","4","717","717"
"197","2","6","8","4","945","945"
"201","2","6","10","4","596","596"
"192","2","6","8","4","1675","1675"
"198","2","6","8","4","1115","1115"
"199","2","6","8","4","1031","1031"
"204","2","6","10","4","563","563"
"205","2","6","10","4","517","517"
"202","2","6","10","4","975","975"
"203","2","6","10","4","1227","1227"
"209","2","6","10","4","669","669"
"206","2","6","10","4","1161","1161"
"211","2","6","10","4","682","682"
"210","2","6","10","4","773","773"
"194","2","6","8","4","340","340"
"212","2","6","10","4","437","437"
"208","2","6","10","4","1100","1100"
"215","2","6","10","4","267","267"
"214","2","6","10","4","540","540"
"216","2","6","10","4","602","602"
"220","2","6","10","4","356","356"
"219","2","6","10","4","427","427"
"213","2","6","10","4","799","799"
"218","2","6","10","4","684","684"
"217","2","6","10","4","830","830"
"207","2","6","10","4","1974","1974"
"223","2","6","10","4","590","590"
"222","2","6","10","4","572","572"
"221","2","6","10","4","846","846"
"225","2","6","10","4","739","739"
"230","2","6","10","4","448","448"
"227","2","6","10","4","479","479"
"232","2","6","10","4","406","406"
"229","2","6","10","4","683","683"
"226","2","6","10","4","1104","1104"
"224","2","6","10","4","1089","1089"
"228","2","6","10","4","691","691"
"239","2","6","10","4","121","121"
"231","2","6","10","4","978","978"
"235","2","6","10","4","703","703"
"238","2","6","10","4","674","674"
"233","2","6","10","4","909","909"
"236","2","6","10","4","762","762"
"245","2","6","10","4","260","260"
"240","2","6","10","4","741","741"
"234","2","6","10","4","1047","1047"
"242","2","6","10","4","482","482"
"243","2","6","10","4","385","385"
"241","2","6","10","4","661","661"
"247","2","6","10","4","134","134"
"250","2","6","10","4","129","129"
"249","2","6","10","4","480","480"
"248","2","6","10","4","450","450"
"246","2","6","10","4","947","947"
"244","2","6","10","4","1279","1279"
"253","4","6","2","4","1406","1406"
"237","2","6","10","4","1393","1393"
"254","4","6","2","4","3195","3195"
"251","4","6","2","4","4253","4253"
"257","4","6","2","4","3503","3503"
"259","4","6","2","4","3937","3937"
"258","4","6","2","4","4838","4838"
"255","4","6","2","4","4873","4873"
"260","4","6","2","4","4471","4471"
"252","4","6","2","4","9342","9342"
"261","4","6","2","4","5592","5592"
"256","4","6","2","4","9647","9647"
"262","4","6","2","4","4928","4928"
"269","4","6","2","4","3020","3020"
"264","4","6","2","4","3935","3935"
"267","4","6","2","4","2734","2734"
"263","4","6","2","4","5062","5062"
"268","4","6","2","4","6181","6181"
"266","4","6","2","4","7907","7907"
"265","4","6","2","4","7541","7541"
"271","4","6","2","4","4281","4281"
"272","4","6","2","4","4127","4127"
"270","4","6","2","4","4566","4566"
"275","4","6","2","4","3464","3464"
"276","4","6","2","4","2534","2534"
"278","4","6","2","4","2516","2516"
"274","4","6","2","4","6419","6419"
"281","4","6","2","4","2442","2442"
"273","4","6","2","4","6943","6943"
"279","4","6","2","4","3183","3183"
"282","4","6","2","4","4531","4531"
"277","4","6","2","4","5304","5304"
"280","4","6","2","4","6534","6534"
"287","4","6","2","4","3483","3483"
"285","4","6","2","4","5117","5117"
"283","4","6","2","4","4741","4741"
"284","4","6","2","4","5626","5626"
"286","4","6","2","4","4830","4830"
"293","4","6","2","4","4325","4325"
"288","4","6","2","4","6427","6427"
"289","4","6","2","4","4518","4518"
"294","4","6","2","4","5000","5000"
"292","4","6","2","4","5839","5839"
"291","4","6","2","4","6023","6023"
"295","4","6","2","4","5052","5052"
"296","4","6","2","4","3175","3175"
"300","4","6","2","4","2668","2668"
"299","4","6","2","4","2693","2693"
"297","4","6","2","4","3877","3877"
"301","4","6","4","4","2407","2407"
"303","4","6","4","4","1557","1557"
"298","4","6","2","4","3593","3593"
"290","4","6","2","4","7988","7988"
"304","4","6","4","4","1766","1766"
"306","4","6","4","4","1773","1773"
"302","4","6","4","4","3040","3040"
"307","4","6","4","4","1568","1568"
"308","4","6","4","4","2294","2294"
"311","4","6","4","4","1741","1741"
"309","4","6","4","4","2302","2302"
"310","4","6","4","4","3472","3472"
"313","4","6","4","4","2096","2096"
"312","4","6","4","4","2620","2620"
"314","4","6","4","4","2206","2206"
"305","4","6","4","4","3546","3546"
"316","4","6","4","4","2529","2529"
"315","4","6","4","4","2670","2670"
"320","4","6","4","4","1153","1153"
"317","4","6","4","4","2420","2420"
"318","4","6","4","4","2856","2856"
"321","4","6","4","4","2008","2008"
"324","4","6","4","4","2247","2247"
"319","4","6","4","4","1943","1943"
"323","4","6","4","4","3860","3860"
"326","4","6","4","4","1661","1661"
