"BehaviorSpace results (NetLogo 6.2.0)"
"Traffic Basic.nlogo"
"experiment"
"02/05/2021 10:19:37:535 -0500"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-25","25","-4","4"
"[run number]","acceleration","number-of-cars","deceleration","[step]","mean [speed] of  turtles"
"2","0.0025","20","0.014","1000","0.8272115326156374"
"5","0.0025","20","0.014","1000","1"
"1","0.0025","20","0.014","1000","0.7914205534312472"
"6","0.0025","20","0.014","1000","0.8590582637850573"
"8","0.0025","20","0.014","1000","0.6705933684834532"
"7","0.0025","20","0.014","1000","0.7963453327776124"
"4","0.0025","20","0.014","1000","0.7305969141709036"
"3","0.0025","20","0.014","1000","0.9993000000000001"
"11","0.0025","20","0.014","1000","0.7474485134892899"
"13","0.0025","20","0.014","1000","0.6941977316771204"
"10","0.0025","20","0.014","1000","0.8239576967473443"
"14","0.0025","20","0.014","1000","0.882279307061604"
"9","0.0025","20","0.014","1000","0.823124677683146"
"15","0.0025","20","0.014","1000","0.8279574643052104"
"12","0.0025","20","0.014","1000","0.8180616557153917"
"16","0.0025","20","0.014","1000","0.7737586984752945"
"17","0.0025","20","0.014","1000","0.8526156866651448"
"20","0.0025","20","0.014","1000","0.8190886436731987"
"18","0.0025","20","0.014","1000","0.8410157751482714"
"19","0.0025","20","0.014","1000","0.7658585554157529"
"21","0.0025","20","0.014","1000","0.7524410580866777"
"22","0.0025","20","0.014","1000","0.6916137637459182"
"24","0.0025","20","0.014","1000","0.9739870853319502"
"23","0.0025","20","0.014","1000","1"
"25","0.0025","20","0.014","1000","0.9864901705653285"
"27","0.0025","20","0.014","1000","0.8183469646793238"
"26","0.0025","20","0.014","1000","1"
"28","0.0025","20","0.014","1000","0.5814272399106726"
"29","0.0025","20","0.014","1000","0.7455074269771017"
"30","0.0025","20","0.014","1000","0.7830316953414416"
"31","0.0025","20","0.014","1000","0.8665006770375999"
"32","0.0025","20","0.014","1000","0.7284407685902716"
"34","0.0025","20","0.014","1000","0.7988356974115682"
"35","0.0025","20","0.014","1000","1"
"33","0.0025","20","0.014","1000","0.9782894144339851"
"37","0.0025","20","0.014","1000","0.79022560317297"
"38","0.0025","20","0.014","1000","0.8099523597661273"
"39","0.0025","20","0.014","1000","0.9611300570436478"
