"BehaviorSpace results (NetLogo 6.2.0)"
"thunderRidge2D.nlogo"
"experiment"
"08/29/2021 16:51:54:160 -0500"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-16","16","-16","16"
"[run number]","densidad","[step]","num-árboles"
"4","26","1","272"
"2","26","1","245"
"3","26","1","261"
"6","26","1","267"
"7","26","1","307"
"8","26","1","267"
"5","26","1","280"
"1","26","1","281"
"9","26","1","282"
"10","26","1","291"
"13","26","1","253"
"11","26","1","285"
"14","26","1","270"
"12","26","1","290"
"15","26","1","274"
"16","26","1","287"
"17","26","1","265"
"18","26","1","279"
"20","26","1","288"
"19","26","1","247"
"21","26","1","312"
"23","26","1","260"
"22","26","1","282"
"24","26","1","310"
"25","26","1","285"
"27","26","1","288"
"28","26","1","250"
"29","26","1","274"
"26","26","1","280"
"30","26","1","260"
"31","26","1","287"
"32","26","1","253"
"33","26","1","265"
"34","26","1","283"
"35","26","1","247"
"36","26","1","275"
"37","26","1","265"
"38","26","1","265"
"39","26","1","277"
"40","26","1","275"
"41","26","1","280"
"42","26","1","294"
"43","26","1","261"
"44","26","1","265"
"45","26","1","280"
"46","26","1","276"
"47","26","1","275"
"48","26","1","309"
"49","26","1","286"
"50","26","1","298"
"52","26","1","277"
"51","26","1","279"
"53","26","1","271"
"54","26","1","231"
"55","26","1","251"
"56","26","1","266"
"58","26","1","216"
"57","26","1","289"
"59","26","1","254"
"60","26","1","277"
"61","26","1","242"
"62","26","1","264"
"63","26","1","281"
"64","26","1","299"
"65","26","1","247"
"66","26","1","252"
"67","26","1","268"
"68","26","1","288"
"69","26","1","288"
"71","26","1","235"
"70","26","1","297"
"72","26","1","268"
"73","26","1","250"
"75","26","1","269"
"76","26","1","273"
"77","26","1","267"
"78","26","1","291"
"74","26","1","281"
"79","26","1","292"
"80","26","1","271"
"81","26","1","261"
"82","26","1","273"
"83","26","1","280"
"84","26","1","262"
"86","26","1","275"
"85","26","1","267"
"87","26","1","248"
"88","26","1","302"
"89","26","1","263"
"90","26","1","266"
"91","26","1","272"
"92","26","1","297"
"93","26","1","256"
"94","26","1","286"
"95","26","1","272"
"96","26","1","254"
"97","26","1","267"
"98","26","1","248"
"99","26","1","284"
"100","26","1","274"
"102","26","1","249"
"103","26","1","258"
"101","26","1","267"
"104","26","1","244"
"105","26","1","268"
"106","26","1","283"
"107","26","1","283"
"108","26","1","247"
"109","26","1","268"
"111","26","1","299"
"110","26","1","264"
"112","26","1","268"
"113","26","1","230"
"114","26","1","265"
"116","26","1","297"
"117","26","1","280"
"119","26","1","273"
"118","26","1","248"
"115","26","1","247"
"120","26","1","275"
"121","26","1","235"
"122","26","1","275"
"123","26","1","236"
"124","26","1","283"
"125","26","1","288"
"126","26","1","266"
"127","26","1","266"
"128","26","1","254"
"129","26","1","273"
"130","26","1","291"
"131","26","1","263"
"132","26","1","257"
"133","26","1","281"
"134","26","1","265"
"135","26","1","258"
"136","26","1","271"
"137","26","1","269"
"138","26","1","245"
"139","26","1","275"
"140","26","1","301"
"141","26","1","265"
"142","26","1","281"
"143","26","1","249"
"144","26","1","265"
"145","26","1","264"
"146","26","1","261"
"147","26","1","255"
"148","26","1","277"
"150","26","1","246"
"149","26","1","260"
"151","26","1","280"
"152","26","1","287"
"153","26","1","260"
"154","26","1","265"
"155","26","1","252"
"156","26","1","287"
"157","26","1","283"
"158","26","1","287"
"159","26","1","209"
"160","26","1","259"
"161","26","1","278"
"162","26","1","285"
"163","26","1","269"
"164","26","1","288"
"165","26","1","260"
"166","26","1","271"
"167","26","1","278"
"168","26","1","264"
"169","26","1","282"
"170","26","1","260"
"171","26","1","260"
"172","26","1","298"
"173","26","1","218"
"174","26","1","254"
"175","26","1","270"
"176","26","1","285"
"177","26","1","280"
"178","26","1","282"
"179","26","1","257"
"180","26","1","260"
"181","26","1","258"
"182","26","1","269"
"183","26","1","294"
"184","26","1","274"
"185","26","1","254"
"186","26","1","281"
"187","26","1","280"
"188","26","1","285"
"189","26","1","288"
"190","26","1","265"
"191","26","1","240"
"192","26","1","262"
"193","26","1","285"
"194","26","1","276"
"195","26","1","236"
"196","26","1","286"
"198","26","1","268"
"197","26","1","272"
"199","26","1","271"
"200","26","1","285"
"201","26","1","289"
"202","26","1","262"
"203","26","1","272"
"204","26","1","291"
"205","26","1","300"
"206","26","1","246"
"207","26","1","247"
"208","26","1","251"
"209","26","1","264"
"210","26","1","271"
"211","26","1","241"
"212","26","1","268"
"213","26","1","241"
"214","26","1","269"
"215","26","1","276"
"216","26","1","283"
"217","26","1","278"
"218","26","1","230"
"219","26","1","268"
"220","26","1","250"
"221","26","1","257"
"222","26","1","273"
"223","26","1","280"
"224","26","1","258"
"225","26","1","278"
"226","26","1","300"
"227","26","1","300"
"228","26","1","289"
"229","26","1","273"
"230","26","1","261"
"231","26","1","265"
"232","26","1","223"
"233","26","1","305"
"234","26","1","269"
"235","26","1","267"
"236","26","1","261"
"237","26","1","257"
"238","26","1","289"
"239","26","1","294"
"240","26","1","262"
"241","26","1","284"
"242","26","1","309"
"243","26","1","291"
"244","26","1","257"
"245","26","1","254"
"246","26","1","260"
"247","26","1","287"
"248","26","1","263"
"249","26","1","269"
"250","26","1","283"
"251","26","1","284"
"252","26","1","262"
"253","26","1","245"
"254","26","1","299"
"255","26","1","281"
"256","26","1","256"
"257","26","1","255"
"258","26","1","255"
"259","26","1","255"
"260","26","1","275"
"261","26","1","259"
"262","26","1","251"
"263","26","1","272"
"264","26","1","252"
"265","26","1","255"
"266","26","1","279"
"267","26","1","278"
"268","26","1","237"
"269","26","1","254"
"270","26","1","279"
"271","26","1","255"
"272","26","1","290"
"273","26","1","244"
"274","26","1","280"
"275","26","1","268"
"276","26","1","267"
"278","26","1","291"
"277","26","1","246"
"279","26","1","257"
"280","26","1","258"
"281","26","1","252"
"282","26","1","266"
"283","26","1","281"
"284","26","1","260"
"285","26","1","257"
"286","26","1","286"
"287","26","1","245"
"288","26","1","282"
"289","26","1","272"
"290","26","1","282"
"291","26","1","288"
"292","26","1","277"
"293","26","1","271"
"294","26","1","279"
"295","26","1","243"
"296","26","1","268"
"297","26","1","266"
"298","26","1","267"
"299","26","1","255"
"300","26","1","272"
"301","26","1","266"
"302","26","1","312"
"303","26","1","270"
"304","26","1","276"
"305","26","1","280"
"306","26","1","268"
"307","26","1","268"
"308","26","1","245"
"309","26","1","263"
"310","26","1","289"
"311","26","1","257"
"312","26","1","257"
"313","26","1","296"
"314","26","1","254"
"315","26","1","281"
"316","26","1","270"
"317","26","1","272"
"318","26","1","275"
"319","26","1","278"
"320","26","1","290"
"321","26","1","269"
"322","26","1","284"
"323","26","1","267"
"324","26","1","292"
"325","26","1","261"
"326","26","1","271"
"327","26","1","244"
"328","26","1","249"
"329","26","1","262"
"330","26","1","296"
"331","26","1","248"
"332","26","1","275"
"333","26","1","257"
"334","26","1","295"
"335","26","1","247"
"336","26","1","261"
"337","26","1","252"
"338","26","1","293"
"339","26","1","292"
"340","26","1","274"
"341","26","1","276"
"343","26","1","290"
"342","26","1","260"
"344","26","1","282"
"345","26","1","322"
"346","26","1","266"
"347","26","1","247"
"348","26","1","273"
"349","26","1","280"
"351","26","1","270"
"350","26","1","259"
"352","26","1","266"
"353","26","1","256"
"354","26","1","256"
"355","26","1","271"
"356","26","1","273"
"357","26","1","257"
"358","26","1","276"
"359","26","1","234"
"360","26","1","294"
"361","26","1","287"
"362","26","1","281"
"363","26","1","289"
"364","26","1","264"
"365","26","1","295"
"366","26","1","267"
"367","26","1","261"
"368","26","1","294"
"369","26","1","283"
"370","26","1","264"
"371","26","1","260"
"372","26","1","276"
"373","26","1","308"
"374","26","1","281"
"375","26","1","293"
"376","26","1","243"
"377","26","1","241"
"378","26","1","249"
"379","26","1","278"
"380","26","1","277"
"381","26","1","264"
"382","26","1","256"
"383","26","1","271"
"384","26","1","264"
"385","26","1","271"
"386","26","1","271"
"387","26","1","265"
"388","26","1","264"
"389","26","1","256"
"390","26","1","282"
"391","26","1","288"
"392","26","1","257"
"393","26","1","253"
"394","26","1","298"
"395","26","1","258"
"396","26","1","285"
"397","26","1","276"
"398","26","1","285"
"399","26","1","270"
"400","26","1","221"
"401","26","1","216"
"402","26","1","247"
"403","26","1","248"
"404","26","1","283"
"405","26","1","269"
"406","26","1","248"
"407","26","1","258"
"408","26","1","285"
"409","26","1","236"
"410","26","1","269"
"411","26","1","234"
"412","26","1","284"
"413","26","1","247"
"414","26","1","292"
"415","26","1","288"
"416","26","1","264"
"417","26","1","267"
"418","26","1","249"
"419","26","1","280"
"420","26","1","264"
"421","26","1","288"
"422","26","1","286"
"423","26","1","262"
"424","26","1","275"
"425","26","1","289"
"426","26","1","272"
"427","26","1","301"
"428","26","1","279"
"429","26","1","289"
"430","26","1","279"
"431","26","1","269"
"432","26","1","285"
"433","26","1","265"
"434","26","1","275"
"435","26","1","296"
"436","26","1","261"
"437","26","1","276"
"438","26","1","272"
"439","26","1","255"
"440","26","1","259"
"441","26","1","277"
"442","26","1","274"
"443","26","1","253"
"444","26","1","275"
"445","26","1","245"
"446","26","1","276"
"447","26","1","291"
"448","26","1","254"
"449","26","1","253"
"450","26","1","216"
"451","26","1","290"
"452","26","1","270"
"453","26","1","264"
"454","26","1","255"
"455","26","1","281"
"456","26","1","285"
"457","26","1","266"
"458","26","1","276"
"459","26","1","278"
"460","26","1","299"
"461","26","1","265"
"462","26","1","264"
"463","26","1","280"
"464","26","1","281"
"465","26","1","278"
"466","26","1","274"
"467","26","1","260"
"468","26","1","286"
"469","26","1","236"
"470","26","1","269"
"471","26","1","273"
"472","26","1","290"
"473","26","1","298"
"474","26","1","285"
"475","26","1","294"
"476","26","1","270"
"478","26","1","276"
"479","26","1","301"
"477","26","1","231"
"480","26","1","284"
"481","26","1","258"
"482","26","1","291"
"483","26","1","275"
"484","26","1","273"
"485","26","1","278"
"486","26","1","298"
"487","26","1","283"
"488","26","1","273"
"489","26","1","275"
"490","26","1","252"
"491","26","1","249"
"492","26","1","301"
"493","26","1","259"
"494","26","1","288"
"495","26","1","272"
"496","26","1","285"
"497","26","1","288"
"498","26","1","285"
"499","26","1","284"
"500","26","1","267"
"501","26","1","279"
"502","26","1","286"
"503","26","1","266"
"504","26","1","282"
"505","26","1","263"
"506","26","1","293"
"507","26","1","308"
"508","26","1","268"
"509","26","1","250"
"510","26","1","265"
"511","26","1","278"
"512","26","1","287"
"513","26","1","274"
"514","26","1","282"
"515","26","1","276"
"516","26","1","273"
"517","26","1","269"
"518","26","1","268"
"519","26","1","260"
"520","26","1","307"
"521","26","1","255"
"522","26","1","272"
"523","26","1","273"
"524","26","1","257"
"525","26","1","294"
"526","26","1","279"
"527","26","1","244"
"528","26","1","298"
"529","26","1","269"
"530","26","1","263"
"531","26","1","280"
"532","26","1","263"
"533","26","1","285"
"534","26","1","274"
"535","26","1","307"
"536","26","1","289"
"537","26","1","277"
"538","26","1","270"
"539","26","1","283"
"540","26","1","262"
"541","26","1","279"
"542","26","1","256"
"543","26","1","283"
"544","26","1","254"
"545","26","1","249"
"546","26","1","300"
"547","26","1","283"
"548","26","1","245"
"549","26","1","266"
"550","26","1","275"
"551","26","1","275"
"552","26","1","259"
"553","26","1","294"
"554","26","1","281"
"555","26","1","256"
"556","26","1","275"
"557","26","1","237"
"558","26","1","288"
"559","26","1","260"
"560","26","1","288"
"561","26","1","278"
"562","26","1","290"
"563","26","1","278"
"564","26","1","275"
"565","26","1","286"
"566","26","1","265"
"567","26","1","250"
"568","26","1","278"
"569","26","1","232"
"570","26","1","261"
"571","26","1","246"
"572","26","1","258"
"573","26","1","278"
"574","26","1","231"
"575","26","1","267"
"576","26","1","260"
"577","26","1","262"
"578","26","1","276"
"579","26","1","244"
"580","26","1","261"
"581","26","1","278"
"582","26","1","263"
"583","26","1","277"
"584","26","1","240"
"585","26","1","284"
"586","26","1","245"
"587","26","1","274"
"588","26","1","280"
"589","26","1","260"
"590","26","1","283"
"591","26","1","272"
"592","26","1","264"
"594","26","1","295"
"593","26","1","265"
"595","26","1","249"
"596","26","1","272"
"597","26","1","282"
"598","26","1","235"
"599","26","1","247"
"600","26","1","287"
"602","26","1","267"
"601","26","1","270"
"603","26","1","234"
"604","26","1","261"
"605","26","1","302"
"606","26","1","283"
"607","26","1","283"
"608","26","1","276"
"610","26","1","273"
"609","26","1","292"
"611","26","1","276"
"612","26","1","273"
"613","26","1","291"
"614","26","1","243"
"615","26","1","259"
"616","26","1","283"
"617","26","1","299"
"618","26","1","305"
"619","26","1","246"
"620","26","1","263"
"621","26","1","265"
"622","26","1","276"
"623","26","1","292"
"624","26","1","278"
"625","26","1","291"
"626","26","1","285"
"627","26","1","279"
"628","26","1","263"
"629","26","1","281"
"630","26","1","248"
"631","26","1","292"
"632","26","1","271"
"633","26","1","256"
